title,rating,price,rating counter,sold,description,shop name,url,store location
ONPOINT IRON OpenEar Bone Conduction Headphone - Open Ear BLACK - No Bundling,5,Rp1.199.000,155,250,"ONPOINT OpenEar Iron Bone Conduction Headphone#NoMoreBoringSportsExperience a revolutionary way of enjoying audio with our cutting-edge open-ear technology. Unlike traditional headphones that cover or plug your ears, our open-ear design allows you to stay connected with your surroundings while still enjoying a premium audio experience.FEATURES1. 100% Waterproof (IP68)2. MP3 Player with 32GB storage (< 7,000 songs)3. Best Sound Quality amongst all Openear Bone Conduction Headset4. Bluetooth(R) Stereo Music & Phone CallNote: Bluetooth connection between Openear Iron and Smart watch may vary depend upon respective capability of the smart watch itself.SPECIFICATIONIP Rating: IP68 Dust & Water ProofProduct Size : 13.5cm x 10.9cm x 4.6cmWeight : 37 gCapability : Swimming & Sweat ProofBattery Capacity : 180 mAH<10 hours *low & stable volume<4 hours *non-stop & high volumeBluetooth Version : V 5.3BT Range : +/- 10 meterMultipoint Pairing: YesInput Charging: DC 5V/1A. Not recommended for Fast Charge.WARRANTY- 2-years Product Replacement*Term & Condition appliedINCLUDE- 1 Box Packaging- 1 Unit ONPOINT OpenEar Iron Bone Conduction Headphone- 1 ONPOINTTravel Case- Magnetic Charging Cable & USB-C Adaptor- Swimming Ear-Plugs- Tightening rubberNotes:*Produk yang telah dibeli tidak bisa dibatalkan/ cancel order*Sertakan Video unboxing untuk complainT&C Pengiriman- Pengiriman REGULER akan diproses H+1 setelah orderan berhasil dibuat- Jangka waktu pengiriman dapat bervariasi tergantung dari pihak ekspedisi dan jenis pengiriman yang dipilih oleh customer- Pengiriman INSTAN akan dikirim dihari yang sama jika order maksimal sebelum jam 14.00 WIB- Pengiriman SAMEDAY akan dikirim dihari yang sama jika order maksimal sebelum jam 12.00 WIB- Waktu operasional pengiriman dari hari SENIN - JUMAT- Tidak ada pengiriman di hari Sabtu, Minggu dan Hari Libur Nasional",ONPOINT Indonesia,https://www.tokopedia.com/onpointindonesia/onpoint-iron-openear-bone-conduction-headphone-open-ear-black-no-bundling-f5a86?extParam=ivf%3Dtrue%26keyword%3Dheadphone&src=topads,Jakarta Timur
Fantech Headphone Bluetooth Dual Mode Headset Wireless GO Tune WH06 - WH06beige,4.5,Rp259.000,75,100,"NO POSTEL : 90500/SDPPI/2023GO Tune Wireless Headphone WH06Dual Mode ConnectionWH06 dibekali dengan kombinasi mode konektivitas yang sempurna. Terdiri dari mode wired menggunakan kabel 3.5 mm dan mode wireless menggunakan koneksi BT 5.3. Menawarkan jangkauan kompatibilitas yang luas, headphone WH06 bisa digunakan pada berbagai perangkat yang kamu punya.Comfort & Stable WearingHeadband pada WH06 terbuat dari material leather yang lembut dan nyaman. Headphone ini juga mengadopsi fitur silent rotating shaft untuk mengurangi getaran sehingga mampu menghasilkan near-silent effect. Dengan bobot yang ringan namun stabil, WH06 cocok dan nyaman untuk digunakan sepanjang hari.Advanced 40 mm DriverGO Tune Wireless Headphone WH06 telah dilengkapi dengan fitur 40 mm driver. Fitur tersebut memungkinkan kamu untuk dapat mendengarkan musik dengan suara yang jernih tanpa gangguan.Easy Control ButtonsHeadphone WH06 telah dilengkapi dengan tombol yang bisa dikendalikan secara mudah menggunakan 1 ujung jari. Dengan tombol tersebut, kamu bisa mengatur tingkat volume, mengubah mode gaming, skip musik yang sedang didengar secara langsung dan cepat.Perfect ComfortNikmati alunan musik yang kamu dengarkan dengan nyaman bersama ear cups super empuk. Dengan material leatherette premium serta bantalan yang empuk, kuping tidak akan terasa panas akibat menggunakan headphone seharian.Long Lasting Battery LifeDibekali dengan kapasitas baterai yang besar, headphone WH06 mampu bertahan selama 20 jam pemutaran musik. Kamu tidak perlu khawatir kehabisan baterai ketika sedang mendengarkan musik favorit.",Fantech Official Store,https://www.tokopedia.com/fantechstore/fantech-headphone-bluetooth-dual-mode-headset-wireless-go-tune-wh06-wh06beige-ff8b4?extParam=ivf%3Dfalse%26keyword%3Dheadphone&src=topads,Jakarta Barat
dbE DJ80 Foldable DJ Headphone with Detachable Microphone - Hitam,4.9,Rp220.000,"10,7rb",10000,"Catatan: Penggunaan DJ80 di beberapa desktop PC mungkin membutuhkan audio spliiter.Splitter FM100 dbE dapat dibeli secara terpisah di https://www.tokopedia.com/dbeofficial/dbe-fm100-cable-splitter dbE DJ80 adalah Headphone Portable terbaru dari dbE dengan kualitas suara baik dan microphone yang bisa dilepas pasang. Kelebihan utama headphone ini adalah :- Kualitas suara dengan bass tight dan vokal jelas dan treble jelas- Microphone yang bisa dicabut pasang dengan kualitas microphone sangat baik untuk meeting online / aplikasi karaoke / video callSpesifikasi Speaker Driver : 40 mm Dynamic DriverImpedance : 32 Ohm Freq Response : 20 Hz - 20 kHzSensiivitas : 110 dB +- dBPlug Type : 3.5mmpanjang Kabel : 1.8 meter""UNTUK DI HP OPPO DAN VIVO KABEL MIC HARUS SELALU TERPASANG""NB Headphone ini menggunakan 1 jack untuk audio dan mic.Bisa digunakan langsung di Handphone / Smartphone / Laptop yang jack audionya 1 (digabung audio dan mic)Untuk penggunaan di PC yang jack audio dan micnya terpisah memerlukan cable spliterGaransi produk 1 tahunCara Mengganti Pads :https://www.youtube.com/watch?v=J05a78CR3pQ",dbE Official,https://www.tokopedia.com/dbeofficial/dbe-dj80-foldable-dj-headphone-with-detachable-microphone-hitam?extParam=ivf%3Dfalse%26keyword%3Dheadphone&src=topads,Jakarta Selatan
headset bluetooh earphone terbaru stereo bass k7h75,4.5,Rp200.000,4,13,"Description:Number:EP20Wireless Version: V5.3Wireless Profiles: A2DP/HFP/HSPIAVRCPTransmission Distance: 10MCharging time: about 2 hoursStandby: 280 hoursMusic play: about 5 hours(Earbuds)Input: 5V---  1AOutput: 5V --- 1A Default accessories: 2*Bluetooth Earphones 1*USB Charging Cable 1*Charging Case 1*User ManualFeedback (1)Please kindly leave us a positive feedback (5 stars) , if you are satisfied with our items. (2)Please contact us before leaving any negative feedback or open a dispute on Shopee. (3)Please give us the opportunity to resolve any problem.",Kopi 7 Huruf,https://www.tokopedia.com/kopi7huruf/headset-bluetooh-earphone-terbaru-stereo-bass-k7h75?extParam=ivf%3Dfalse%26keyword%3Dheadphone&src=topads,Jakarta Barat
earphone bluetooth karakter lucu headset bluetooth model terbaru aqs_57 - Hitam,,Rp250.000,,,"SPESIFIKASI: Nama produk: SP05 Kapasitas baterai :300mAh Versi Bluetooth:5.3 Waktu Pengisian Daya :1-2 jam Jarak transmisi: 10 meter Komunikasi: Nirkabel Fungsi: bluetooth, Mikrofon, Tahan Air, Tampilan LED, Peredam Bising Standar Kedap Air: IPX-5 Konektor: TIPE-C Penggunaan: Pemutar Media Portabel, Ponsel, KOMPUTER, Musik, Game, Olahraga, Perjalanan Tombol Kontrol: Ya Indikator Baterai: Tampilan Digital KELENGKAPAN PRODUK: 1 Pcs Box Karakter Penguin 1 Pasang Earphone Bluetooth 1 Pcs Kabel Charger Type-C 1 Pcs User Manual",Aquarius_Star,https://www.tokopedia.com/aquariusstar/earphone-bluetooth-karakter-lucu-headset-bluetooth-model-terbaru-aqs-57-hitam-fa9e8?extParam=ivf%3Dfalse%26keyword%3Dheadphone&src=topads,Jakarta Pusat
BASEUS BOWIE D05 FOLDABLE WIRELESS/WIRED HEADPHONE ENC BLUETOOTH 5.3 - Putih,4.9,Rp369.000,1.590,3000,"BS-EAR-D05-GRY = Garansi: 2 tahun (pertanggal 11 Juni 2024 dan box packaging stiker 2 tahun) Cacat pabrik, langsung ganti baru. kerusakan akibat pengguna= garansi voidBS-EAR-D05-WH = Garansi: 2 tahun (pertanggal 11 Juni 2024 dan box packaging stiker 2 tahun) Cacat pabrik, langsung ganti baru. kerusakan akibat pengguna= garansi voidBS-EAR-D05-BK = Garansi: 12 Bulan (Cacat pabrik, langsung ganti baru. kerusakan akibat pengguna= garansi void)BS-EAR-D05-PK = Garansi: 2 tahun (pertanggal 11 Juni 2024 dan box packaging stiker 2 tahun) Cacat pabrik, langsung ganti baru. kerusakan akibat pengguna= garansi voidNotes : 1. Harap pastikan pesanan sudah sesuai sebelum check out. 2. Produk tidak dapat ditukar size / warna / model 3. Untuk KLAIM PRODUK tidak lengkap harap sertakan video UNBOXING PAKET. 4. Setelah barang sampai mohon dicek kelengkapan produk dan pastikan barang diterima dengan kondisi baik sebelum klik ""Pesanan Diterima"". * Mendukung Audio Spasial 3D (BISA - Baseus Immersive Spatial Accoustic Technology) * Ultra Low Latency 0,06s (DCLL - Dual Channel Low Latency) * Full Spectrum - Dapatkan pengalaman realistis dengan driver magnet Neodyum, magnet yang kuat untuk detail yang lebih besar dan lebih sedikit distorsi * Didesain dengan ringan untuk daya tahan pakai yang lebih baik * Baseus Smart Connect (BSC) - Secara otomatis mendeteksi panggilan telepon dan terhubung dengan perangkat tersebut saat headphone dipasangkan dengan 2 perangkat secara bersamaan * ENC - High Quality Phone Call * Support Baseus AppSpesifikasi:Bahan: Metal,ABS,PlastikKapasitas Baterai: 600mAh/3.7V/2.22WhDaya Tahan Baterai Hingga: 70 jamMaksimum Jangkauan Wireless: <10 MImpedansiRentang: 32 Diafragma: 40mm PETVersi Bluetooth: 5.3Fitur-Fitur: Dengan Mikrofon & Dual KoneksiCharge interface: Type-CRentang respons frekuensi: 20Hz-20KHzWaktupengisian daya: Sekitar 2 jamBerat Produk: 500 grDimensi Produk: 175*210 mm Isi paket:1* Baseus Bowie D05 Wireless Headphones1* Kabel data universal type-C 3A1* Kabel type-c to 3.5 mm headphone jack",Baseus Official Store,https://www.tokopedia.com/baseus/baseus-bowie-d05-foldable-wireless-wired-headphone-enc-bluetooth-5-3-putih?extParam=cmp%3D1%26ivf%3Dtrue%26keyword%3Dheadphone%26search_id%3D202501151849300679B21DAC00C31B0I3R%26src%3Dsearch%26whid%3D15596748,
Eggel Live 2 Hybrid ANC + ENC Over Ear Bluetooth Headphone - White,5,Rp389.000,56,100,"❖ GARANSI: 1 TahunSatisfaction Guarantee: Tidak puas, Kembalikan barang dalam 7 hari, dan dapatkan uang Anda kembali◉ Hybrid Active Noise CancellationLive menggunakan 5 mikrofon: 2 x Mic Feedforward pada sisi luar untuk mendeteksi suara eksternal dan mengcounter dengan anti-noise yang sama untuk menekan kebisingan; 2 x Mic Feedback pada sisi dalam untuk menangkap suara internal yg masih tersisa pada saluran telinga kamu, 1 x Calling ENC khusus untuk telepon. Hasilnya, Live dapat menekan kebisingan pada rentang frekuensi yang lebih luas. ◉ Special Custom 40mm Dynamic DriverLive menggunakan 40mm Oversized Dynamic Driver untuk menghasilkan bass yg dalam dengan mid yang kaya detail serta treble yang jernih◉ 3 EQ Modes (Music, Game, and Movie modes) Mendengarkan Lagu, bermain Game, atau menonton Film, Live dapat menyesuaikan suara dan latency untuk memberikan pengalaman terbaik untukmu◉ Ultra Long Battery LifeDengan 1000mAh high efficiency battery, Live dapat memainkan lagu 75 jam (ANC On) atau 100 jam (ANC Off). Sekarang kamu bisa berhenti khawatir akan kehabisan baterai, dan fokus untuk beraktivitas◉ Transparency Mode by Touch SensorCukup taruh tangan kamu pada Earcup kiri, dan Live akan memasuki mode Transparency. Jadi kamu tetap dapat berinteraksi dengan lingkungan sekitarmu sambil menggunakan headphone◉ Dual Device ConnectionKoneksikan Live dengan dua perangkat secara bersamaan. Ketika kamu sedang menonton movie di tablet atau menerima panggilan di hp, kamu dapat mentransfer panggilan tersebut secara otomatis◉ Unlock More Features at Eggel AppKoneksikan Live dengan Eggel App untuk Equalizer Control (6 Presets + Custom EQ), ANC Adjustment (3 Presets + Custom), Transparency Adjustment (2 Presets + Custom), Find My Headphones, Battery Level, dll❖ Specification:Bluetooth Version: 5.3Bluetooth Codecs: SBC, AACSpeaker Diameter: Φ40mmMicrophone: 4 x ANC Mic + 1 x Calling MicTransmission Distance: 10mPlay Time (ANC Off): 100H (Vol 50%)Play Time (ANC On): 75H (Vol 50%)Battery Capacity: 1000mAh❖ Isi Paket:1 x Headphone1 x Charging Cable1 x User Manual1 x Warranty Card",EGGEL Official Store,https://www.tokopedia.com/eggelindonesia/eggel-live-2-hybrid-anc-enc-over-ear-bluetooth-headphone-white-d3615?extParam=ivf%3Dfalse%26keyword%3Dheadphone%26search_id%3D202501151849300679B21DAC00C31B0I3R%26src%3Dsearch,Kota Bandung
Headphone | Headset Bluetooth JETE-11,4.9,Rp116.522,286,500,"====================Raih Hadiah Hingga Ratusan Juta Melalui Undian DoraniversaryPeriode : 1 Des 24 - 31 Jan 25Pengumuman : Februari 25Segera Klaim Semua Transaksi Anda Menjadi Kupon Undian Doraniversary===================Keuntungan Membeli di toko JETE AUTHORIZED STORE :1. Harga Inc PPN 11% (bisa menerbitkan faktur pajak)2. Produk 100% Original, Uang kembali 100% jika brg tidak ORI3. Garansi Resmi 2 Tahun, Rusak ganti baru Tukar sepuasnya4. Selalu Ready Stock dan Siap Kirim5. Packing Aman dan Rapi6. Pengiriman Tepat Waktu7. Pelayanan Ramah dengan Product Knowledge yang Baik8. Proses Klaim Garansi Mudah & dibantu Hingga Selesai9. Memiliki Cabang Toko Resmi Offline yang tersebar di seluruh IndonesiaSpesifikasi Headset JeteMerk : JeteModel : 11Bluetooth Connection : NFC, Bluetooth VPlay Time : 6 hoursMicrophone : YesVolume Control : YesMicro SD Slot : YesInclude : kabel untuk chargeBattery Capacity : 250 mAhWarna : HitamJETE-11 Wireless Headphone menawarkan kualitas audio super bass. Kejernihah suara yang unggul tidak akan mengecewakan Anda. dengan model fleksibel dan ergonomik membuat JETE - 11 terlihat lebih simpel dipakai kapan dan dimana pun. Menambah nilai pengalaman mendengarkan audio menjadi lebih hidup.Semua produk Bluetooth JETE sudah tersertifikasi Direktorat Jenderal Sumber Daya dan Perangkat Pos dan Informatika Republik Indonesia. Yang artinya semua produk Bluetooth JETE memiliki radiasi yang sangat aman bagi pengguna.Ijin Postel Headset Bluetooth JETE-11: 63766/SDPPI/2019 Syarat klaim garansi1. Kerusakan bukan karena kesalahan pengguna (terjatuh, terkena air, dsb)2. Klaim lengkap dengan unit, packing, serta nota pembelian3. Ongkir PP ditanggung oleh pembeli",JETE Authorized Store,https://www.tokopedia.com/jeteofficialsby/headphone-headset-bluetooth-jete-11?extParam=ivf%3Dfalse%26keyword%3Dheadphone%26search_id%3D202501151849300679B21DAC00C31B0I3R%26src%3Dsearch%26whid%3D16178208,Kota Bandung
Headphone Bluetooth JETE 08 Pro Noise Cancelling Bluetooth 5.3 - Butter,4.9,Rp292.900,465,1000,"DIskon Up to 100K Kode voucher : F9W2V1566Keuntungan Membeli di toko JETE Indonesia :1. Harga Inc PPN 11% (bisa menerbitkan faktur pajak)2. Produk 100% Original, Uang kembali 100% jika brg tidak ORI3. Garansi Resmi 2 Tahun, Rusak ganti baru Tukar sepuasnya4. Selalu Ready Stock dan Siap Kirim5. Packing Aman dan Rapi6. Pengiriman Tepat Waktu7. Pelayanan Ramah dengan Product Knowledge yang Baik8. Proses Klaim Garansi Mudah & dibantu Hingga Selesai9. Memiliki Cabang Toko Resmi Offline yang tersebar di seluruh IndonesiaKeunggulan Headphone Bluetooth JETE 08 Pro :1. Output suara yang dihasilkan lebih jelas berkat dukungan Stereo Sound. Terutama saat menonton film dan video yang disukai akan terasa nyata. Termasuk musik yang lebih jelas dan jernih2. Menggunakan teknologi Bluetooth terbaru V5.3. Selain cepat dan lancar, teknologi ini juga membuat konsumsi daya baterainya menjadi lebih rendah3. Dilengkapi dengan Noise Cancelling, Dimana fitur tersebut mampu meredam suara bising yang berasal dari luar4. Desain yang ringkas membuatnya bisa dibawa kemana saja dengan mudah, bisa dimasukkan ke dalam tas dan menggunakannya kembali ketika traveling5. Headphone ini dirancang dengan bahan material dan bantalan yang lembut. Sehingga nyaman digunakan dalam waktu lama sekalipun6. Driver dengan ukuran 40mm mampu memberikan output suara terbaik bagi penggunanya. Hal ini juga akan membuat bass semakin lebih nendang7. Baterai tangguh dan tahan lama membuat Pengguna dapat menikmati dan mendengarkan konten favorit hingga 36 jam nonstop. Dan juga untuk penggisiannnya pun tak memerlukan waktu lama9. JETE 08 Series memiliki output suara stereo. Pengguna dapat merasakan musik yang seolah berputar di area sekeliling, memberikan sensasi layaknya menonton konser secara langsung10. Dilengkapi dengan tombol multifungsi,Spesifikasi :Bluetooth Version : 5.3Wireless working range : 10M (without obstacles)Talk Time : 35HPlay Time : 36HImpedance : 32 Speaker : 40mmBattery : 500mAhSpeaker Sensitivity : 108",JETE Indonesia,https://www.tokopedia.com/gojeteindonesia/headphone-bluetooth-jete-08-pro-noise-cancelling-bluetooth-5-3-butter-ea128?extParam=ivf%3Dfalse%26keyword%3Dheadphone%26search_id%3D202501151849300679B21DAC00C31B0I3R%26src%3Dsearch%26whid%3D16178163,Kota Bandung
EDIFIER W830NB Hi-Res Audio ANC Headphone - Putih,4.9,Rp1.109.000,72,100,"W830NB- Wireless Over-ear Headphones with Active Noise Cancelation* Immersive sound with both Hi-Res Audio and Hi-Res Audio Wireless certification.* Hybrid active noise cancellation, offers up to -45dB ANC depth effectively isolating unwanted noise,    and multiple modes to suit various scenarios.* Enjoy approximately 94 hours of continuous playback with ANC off.* Built-in mics with AI noise cancellation technology ensure your clear calls.* Upgraded ergonomic design ensuring all-day comfortable wearing.* Support multipoint connection, allowing instant switching between music, videos and calls on   different devices simultaneously.* Compatible with EDIFIER ConneX app for additional functions: personalize control settings, select   preset EQs, and more.- -45dB Noise Cancellation Mute the Outside WorldUpgraded hybrid digital noise-canceling technology achieves noise reduction of up to -45dB, an 18% increase compared to the previous generation. This will create a private sanctuary for you by blocking all surrounding noises.* The data of noise cancellation depth is provided by Edifier Lab.Multiple ANC Modes* Hear what you want by switching between multiple ANC modes.Astonishing 94 Hours Playback Time* Featuring a built-in large-capacity battery and a low power consumption chipset, it offers an impressive 94 hours of continuous music playback with ANC off. Whether you're traveling or tackling daily tasks, enjoy extended usage without the hassle of frequent recharging.* The battery life data was obtained in the Edifier Lab by testing with SBC decoding and 80% volume. Actual experience may vary slightly depending on the testing environment, equipment, volume, and audio file.Lossless LDAC Audio Coding , Feel Every Details* It supports LDAC high-definition decoding for Hi-Res Wireless audio, transmitting at a transfer rate of 990kbps, which offers three times the music detail of standard Bluetooth codes. This allows you to enjoy a high-resolution audio experience.Bluetooth V5.4 Faster and More Stable* Utilizes the latest Bluetooth version 5.4 technology for faster transmission speeds, stronger anti-interference capabilities, and lower power consumption.* The Bluetooth word mark and logos are registered trademarks owned by Bluetooth SIG, Inc. and any use of such marks by EDIFIER is under license. Other trademarks and trade names are those of their respective owners.All-day ComfortEnhanced Wearing Experience* Carefully crafted with optimized details for a brand new comfortable wearing experience. Featuring a lightweight and ergonomic design with soft, comfortable earpads and an adjustable headband for extended listening sessions.Stylish and Trendy Appearance* Boasting a stylish and trendy appearance with an exquisite texture, it is available in three colors to complement various occasions.Music Mode* With Edifier's 28 years of acoustic fine-tuning expertise, it features 40mm large dynamic drivers and an independent acoustic chamber layout, delivering rich sound quality that lets you feel every note.Game Mode* With a 0.08s low latency and game sound effects, it allows you to synchronize your audio experience with the action you see on the screen, providing a more exciting and immersive gaming experience.Spatial Sound* With a three-dimensional sound stage algorithm, it brings a cinema-level surround atmosphere to provide an immersive stereo listening experience.DNN Noise Reduction Elevating Call Clarity* Deep Neural Network (DNN) noise reduction technology intelligently recognizes speech and precisely separates human voices from noise, enabling you to talk clearly even on noisy streets.Multi-point Connection Switch Devices Seamlessly* It is capable of connecting to two Bluetooth audio devices simultaneously, making it incredibly convenient to both work and enjoy music at the same time, enhancing your multitasking capabilities.Supports Wired ConnectionsUnrestricted and More Convenient* It also comes with a USB-C audio cable, allowing you to effortlessly transition to wired mode when the battery runs out, guaranteeing uninterrupted listening.Customizable Settings, Tailor Your Space* You can choose from three preset EQs to match your music style, or customize your own equalization in customizable EQ mode for a personalized listening experience.Explore more functions in the EDIFIER ConneX App: find my product, control settings, and more.Specification :* Bluetooth Specification:  Bluetooth Protocol: A2DP, AVRCP, HFP* Battery: Charging Port: USB-C (Type-C)* Input: 5V ⎓ 1A* Charging Time: Approx. 1.5 hours* Frequency Response:20Hz - 40kHz* Bluetooth: V5.4* Playtime:  ANC ON: Approx. 54 hours  ANC OFF: Approx. 94 hours* Audio Codecs: LDAC, AAC, SBC* Driver: Φ40 mm Dynamic Driver* Sound Pressure Level: 91 ± 3 dB(A)* Net Weight: Around 267g* Dimension (L x W x H mm): 170.99 x 78.88 x 194.01 mmGaransi 18 Bulan Distributor PT. HARMAN INDONESIA",Edifier Official Store,https://www.tokopedia.com/edifier-official/edifier-w830nb-hi-res-audio-anc-headphone-putih-366d0?extParam=ivf%3Dfalse%26keyword%3Dheadphone%26search_id%3D202501151849300679B21DAC00C31B0I3R%26src%3Dsearch,Jakarta Pusat
