title,rating,price,rating counter,sold,description,shop name,url,store location
Moondrop MOCA 10mm Dynamic Driver Bluetooth True Wireless TWS Earphone - Cafe,5,Rp775.030,10,25,"Hybrid Wide-Band ANCPhoto-Sensor Wear Detection, Automatic ANC On/Off Physical acoustic duct structure reduces wind noise. Systematic acoustic design and FF+FB hybrid ANC technology combine to deliver excellent noise reduction, so that ""MOCA"" can play a very good noise reduction effect in different environments and with different auricle.Transparent Transmission ModeUsers can easily switch from noise canceling mode to transparent transmission mode by long-pressing the touch control.The carefully tuned transparent transmission mode delivers highly accurate ambient sound, ensuring a safe and comfortable user experience.Ceramic Composite Diaphragm Benchmark Low Distortion HiFi-Level AdjustmentThe TiN ceramic coated dome composite diaphragm was developed by MOONDROP's R&D team and used in MOONDROP's professional Aria2. Three different materials are composited through two processes, achieving a smooth high-frequency response far better than that of a metal coated diaphragm, and a distortion performance lower than that of other crystalline coated diaphragms, resulting in excellent treble details and extension without burr or roughness.55ms Low-Latency Game Mode Music/Game Dual-mode SwitchingMOCA has two connection modes. In addition to the music mode that transmits signals at a higher bit rate, users can also switch to game mode by tapping the touch panel four times. In game mode, the signal transmission delay is as low as 55ms, offering a more fluid game experience.Wireless Charging SupportThe MOCA charging case supports wireless charging. Simply place the side marked with the wireless charging symbol onto the charging device.Specification:Model: MOONDROP MOCAProduct Model: MD-TWS-036Bluetooth Version: 5.4Distribution Profile: A2DP/AVRCP/HFP/HSPCodec: SBC/AAC/LC3Bluetooth Range: 10 meters(Open environment)Charging Time: About 1.5(Earphone)+ About 2(Case) HoursBattery Life: About 6(Earphone)+About 15(Case) Hours",csi-zone,https://www.tokopedia.com/csi-zone/moondrop-moca-10mm-dynamic-driver-bluetooth-true-wireless-tws-earphone-cafe-23119?extParam=ivf%3Dfalse%26keyword%3Dtws&src=topads,Kota Tangerang Selatan
Philips TAT2739 / TAT 2739 16mm Driver Bluetooth Open Ear True Wireless TWS - Blue,5,Rp290.030,3,6,"Balanced sound everywhereThese headphones feature an Adaptive Equal Loudness Compensation (AELC) algorithm. This adjusts the treble and bass so that whether you're outside with the volume up or inside with the volume down, you'll always hear clear, balanced sound.Clear call qualityDon't let sounds from the world interrupt your listening. These headphones feature an AI microphone that uses an advanced AI algorithm to filter out the noise you don't want to hear and ensure clear call quality. Hear each other clearly every time.Directional Acoustic designWith specialized chamber and algorithm, Directional Acoustic technology beams music into your ear canal, minimizing leakage and vibration and retaining detail and bass. All the benefits of an open-ear design with improved sound quality and comfort. Specification:Impedance: 16 OhmSpeaker diameter: 16.2 mmMaximum power input: 30 mWSensitivity: 92 dB (1K Hz)Frequency range: 20 - 20,000 HzDriver type: DynamicConnectivity: WirelessBattery capacity(Case): 400 mAhBattery capacity(Earbud): 60 mAhIP Rating: IPX5",csi-zone,https://www.tokopedia.com/csi-zone/philips-tat2739-tat-2739-16mm-driver-bluetooth-open-ear-true-wireless-tws-blue-6bbb2?extParam=ivf%3Dfalse%26keyword%3Dtws&src=topads,Kota Tangerang Selatan
Moondrop Block Bluetooth True Wireless TWS Flat-head Earbuds Earphone - White,5,Rp338.530,22,60,"13mm Bass-Enhanced Dynamic Driver - Composite Bio-DiaphragmBlock uses a bass-enhanced 13mm dynamic driver. High efficiency N52 magnet and CCAW coil. Composite biological diaphragm material dome + flexible suspension. Offers smooth high frequencies and punchy bass.Tuned with B&K5128 Offers Punchy Bass without Sponge EartipsIn contrast to previous ear simulation devices, the new wideband B&K5128 HATS has a more realistic auricle and ear canal structure and uses finer materials to better simulate the acoustic characteristics of real-life listening.55ms Low-Latency Game ModeTap the touch area four times to quickly enter the low-latency game mode, and enjoy a great gaming experience thanks to the high-quality ENC beamforming microphones.Dual-Microphone Beamforming ENCUsing the principle of beamforming, Block' s environmental noise cancellation (ENC) greatly reduces environmental noise during voice calls and minimizes the impact on incoming calls.Touch Operation Seamless Monaural-Binaural SwitchingBlock supports touch operation play/pause, mode switching, and other functions. It supports TWS mirroring, enabling seamless switching between monaural and binaural modes, and adaptation to various usage scenarios.Specification:Product Name: MOONDROP- BLOCK High-quality Semi-in- ear(Flat-head Earbuds) True Wireless EarphonesModel: MD-TWS-030Distribution Profile: A2DP/AVRCP/HFP/HSPCharging Port: USB-CSupport System: Bluetooth devices and mobile phonesCharging Time Of Charging Case: About 1.5 hoursBattery Capacity Of Charging Case: 3.7V/300mAhBattery Life Of Charging Case: About 15 hoursBluetooth Version: 5.4Codec: AAC/SBCWorking Distance: 10m(unobstructed open environment)Earphone Charging Time: About 1 hourEarphone Battery Capacity: 3.7V/37mAhBattery Life Of Earphone: About 6 hours",csi-zone,https://www.tokopedia.com/csi-zone/moondrop-block-bluetooth-true-wireless-tws-flat-head-earbuds-earphone-white-24a23?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dtws&src=topads,Kota Tangerang Selatan
Soundpeats ClearPods / Clear Pods 13mm Dynamic Driver True Wireless TWS Earphone - Black,5,Rp319.130,2,6,"SoundPEATS Clear-Pods Wireless Earbuds are the perfect choice for those who love music and technology and a trendy design. With a modern transparent design and a series of outstanding features, SoundPEATS Clear-Pods not only bring a great sound experience but also meet the needs of daily use in a convenient and comfortable way. Let's explore the key features of Soundpeats Clear-Pods in detail.13mm bio-dynamic speaker for immersive sound qualitySoundPEATS Clear-Pods are equipped with a 13mm thick bio-membrane, delivering vivid and detailed sound quality. This technology allows the Earbuds to reproduce the sound of every song realistically.Impressive, luxurious transparent design.2 Microphones equipped with ENC noise cancellation technology for clear conversationsIn addition to delivering great sound, SoundPEATS Clear-Pods are equipped with two microphones with ENC (Environmental Noise Cancellation) technology in each ear.Comfortable on-ear feel with lightweight ergonomic design.Easy control via the Peats Audio app.This technology helps reduce environmental noise, allowing you to make clear and uninterrupted calls. Whether you are in a noisy environment such as a cafe, supermarket or on the street, you can still hear and talk easily.Bluetooth 5.3 for fast and stable connectionSoundPEATS Clear-Pods use advanced Bluetooth 5.3 technology, ensuring fast and stable connection. Bluetooth 5.3 not only saves battery but also enhances connection stability, minimizing delays and interruptions when listening to music or making calls on the headset. You will no longer have to worry about losing connection in the middle of enjoying your favorite music or during important calls.Impressive, luxurious transparent designOne of the special highlights of SoundPEATS Clear-Pods is the impressive transparent design.",csi-zone,https://www.tokopedia.com/csi-zone/soundpeats-clearpods-clear-pods-13mm-dynamic-driver-true-wireless-tws-earphone-black-bfe9f?extParam=ivf%3Dfalse%26keyword%3Dtws&src=topads,Kota Tangerang Selatan
TWS Wireless Bluetooth Sports Earphone Bluetooth 5.3 Ear Clip Headset Bone Conduction Headphone Earbuds Stereo Konduksi Tulang Anting-Anting Headphone Nirkabel HIFI Stereo Touch Control Headphones Sports for Cycling Running - Putih,,Rp62.000,,1 ,"Wireless Bluetooth Headset Sports Earphone Ear Clip Bluetooth Headset Bone Conduction Headphone Earphone Earbuds TWS Stereo Bluetooth 5.3 Konduksi Tulang Anting-Anting Headphone Nirkabel HIFI Stereo Touch Control Headphones Sports for Cycling Running- Bone conduction- Touch Control- Hi-Res Audio- Earclip type- Typec Fast Charging- Ambience Light- IPx4 Waterproof1: Desain mini, nyaman dipakai: Desain clip-on ear dengan desain jepit pada telinga, optimal, ringan, konsep inovatif sehat dengan desain nyaman digunakan dalam jangka waktu lama tidak perlu masuk ke dalam lubang telinga dan stabil 2: Desain Telinga Terbuka - Earphone konduksi tulang menghadirkan audio premium melalui tulang pipi. 3: Bluetooth 5.3. Mendukung berbagai perangkat bluetooth (Ios, Android, dan Windows) dengan koneksi stabil dan daya konsumsi rendah.4: Kenyamanan Nirkabel. Tombol multi-fungsi, putar sekali klik, jeda, lewati, dll. Spesifikasi :Bluetooth : V5.3Jarak Koneksi: 10-15Meter (Lingkungan atau ruangan terbuka, tanpa hambatan, contoh hambatan : tembok, pintu dll)Size: 30x30x30mmWeight: 35gCapacity: 80mAhCharge Port: TypecCharging Time: about 1hMaterial: PC+ABS1x TWS Bluetooth headset1x Kabel Pengisian1x Panduan Pengguna",Teknologi Hippo,https://www.tokopedia.com/teknologihippo/tws-wireless-bluetooth-sports-earphone-bluetooth-5-3-ear-clip-headset-bone-conduction-headphone-earbuds-stereo-konduksi-tulang-anting-anting-headphone-nirkabel-hifi-stereo-touch-control-headphones-sports-for-cycling-running-putih-c896d?extParam=ivf%3Dtrue%26keyword%3Dtws&src=topads,Jakarta Barat
BASEUS TRUE WIRELESS BLUETOOTH EARPHONE EARBUDS TWS ANC ENC BOWIE WM05 - Ungu,4.9,Rp429.000,1.338,2000,"BS-EAR-WM05-BKBS-EAR-WM05-WHBS-EAR-WM05-BLBS-EAR-WM05-PL82292/SDPPI/2022- TWS dengan desain ergonomis- ANC hingga -43dB- Bluetooth 5.2- Auto play/pause- Low latency 0,038 detik- Baseus Rapid Charge , 5h penggunaan dalam satu kali full charge dan 28h penggunaan dengan casing charge- Auto connection detection- Ring indicator earbud & indikator charging case- Sistem 4-Mic ENC- Mode TransparansiBaseus App dilengkapi fitur yang bisa disesuaikan di aplikasi :1. Mode Normal,Transparency mode dan Noise reduction Mode2. 3 mode Noise cancellation ; Indoor , outdoor dan commute mode3. Mengganti Mode Noise cancellation4. EQ Setting5. Track Lokasi Earbud dan alarm call6. Setting low latency7. Ear detection setting8. Tampilan Baterai9. Mengganti pengaturan touch controlBaseus Smart connect, setelah pemasangan pertama kali, earphone terhubung secara otomatis dengan membuka casing pengisi daya.Smart touch control:Play/Pause : pakai atau lepas earphoneVoice assistant : tap earbud kiri atau kanan 3xLagu sebelumnya : tahan earbud kiri 1.5 detikLagu berikutnya : tahan earbuds kanan 1.5 detikMenjawab panggilan : tap 2x earbuds kiri atau kananReject telepon : tahan earbud kiri atau kanan 1.5 detikGanti mode : tap 2x*Mode low latency dapat di set di aplikasi baseusSPEK :Material : ABS+PCJarak : 10mVersi bluetooth : 5.2Music time : sekitar 5 jam (volume 70%, anc mati)25-28 jam di charging caseCharging time : sekitar 1 jamSensitivity : 43dBImpedance : 33 to 100ΩCodecs: AAC/SBCDriver diameter : 10mmKapasitas baterai :35mAh/0.13Wh (earphone) DC5V = 70mA400mAh/1.48Wh (charging case) DC5V = 800mAFrekuensi : 20Hz-20kHzInput : Type-CKompatibilitas : Untuk bluetooth deviceDimensi produk : 21*21mm (earbud)65.5*48*26mm (charging case)Berat Produk: 48gIsi paket:1* Baseus Bowie WM05 True Wireless Earphones1* Kabel type-c2* EartipsGaransi: 12 Bulan (Cacat pabrik, langsung ganti baru. Kerusakan akibat pengguna >> garansi void)",Baseus Official Store,https://www.tokopedia.com/baseus/baseus-true-wireless-bluetooth-earphone-earbuds-tws-anc-enc-bowie-wm05-ungu?extParam=ivf%3Dtrue%26keyword%3Dtws%26search_id%3D202501152004350679B21DAC00C32E51X1%26src%3Dsearch%26whid%3D15596748,
Eggel QuietBuds ANC + ENC TWS Bluetooth Earbuds with Low Latency Mode - QuietBuds S,5,Rp279.000,1.543,3000,"❖ Extra Features on QuietBuds S: Eggel App + Bluetooth 5.3 + Hybrid ANC❖ GARANSI: 1 TahunSatisfaction Guarantee: Tidak puas, Kembalikan barang dalam 7 hari, dan dapatkan uang Anda kembali◉ 42db Hybrid Active Noise CancellationTeknologi Hybrid ANC menggunakan 2 tipe mikrofon: 2 x Mic Feedforward pada sisi luar untuk mendeteksi suara eksternal dan mengcounter dengan anti-noise yang sama untuk menekan kebisingan, serta 2 x Mic Feedback pada sisi dalam untuk menangkap suara internal yg masih tersisa pada saluran telinga kamu. Dibandingkan dengan ANC pada umumnya, Hybrid ANC dapat menekan kebisingan pada rentang frekuensi yang lebih luas◉ Ambience ModeSelain ANC, kamu dapat mengaktifkan Mode Ambience: menggunakan keempat Microphone untuk menarik suara luar ke dalam telingamu. Jadi kamu tetap dapat berinteraksi dengan lingkungan sekitarmu sambil menggunakan earphone◉ Special Custom Graphene Dynamic DriverQuietBuds mempunyai driver khusus yg dibuat dgn graphene - bahan yang sangat konduktif, fleksibel, dan kuat terdiri dari atom karbon berkisi yg terikat dalam pola heksagonal. Materi canggih ini memungkinkan QuietBuds untuk menghasilkan bass yg dalam dengan mid yang kaya detail serta treble yang jernih◉ 4 x Environmental Noise Cancelling MicrophonesQuietBuds memiliki 4 built-in microphone yang ditempatkan pada kedua earbud. Keempat Microphones bekerja untuk memblokir kebisingan sekitar, serta memperkuat suara manusia untuk memastikan panggilan telepon dengan jelas dan lancar◉ Low Latency Mode for Mobile GamingTap 3x pada L earbud untuk mode Low Latency, dan nikmati pengalaman bermain game dan menonton movie tanpa gangguan delay◉ No-Pressure FitDesign stem memungkinkan kami untuk mendistribusikan penempatan komponen yang lebih ideal; hasilnya ukuran earbuds yang lebih kecil, dan fitting yang sangat nyaman◉ Unlock More Features at Eggel AppKoneksikan QuietBuds dengan Eggel App untuk Equalizer Control (7 Presets + Custom EQ), ANC Adjustment (3 Presets + Custom ANC), Button Custom, Find My Earbuds, Battery Level, Device Name, dll❖ Specification:Bluetooth: 5.3Speaker Size: Φ13mmANC Depth: -42dBWaterproof Level: IPX5Microphone: 4 x ENC MicPlay Time (ANC Off): 6H (Vol 50%) + 18H with Charging CasePlay Time (ANC On): 4.5H (Vol 50%) + 13.5H with Charging CaseBattery Capacity: 300mAh Charging Case + 33mAh Earbuds x 2Weight: 35g Charging Case + 5g Earbuds x 2❖ Inside the package:1 x QuietBuds (Left and Right)1 x Charging Case1 x USB-C Charging Cable3 x Eartips (S, M, and L)1 x User Manual",EGGEL Official Store,https://www.tokopedia.com/eggelindonesia/eggel-quietbuds-anc-enc-tws-bluetooth-earbuds-with-low-latency-mode-quietbuds-s-c10d6?extParam=ivf%3Dfalse%26keyword%3Dtws%26search_id%3D202501152004350679B21DAC00C32E51X1%26src%3Dsearch,Kota Bandung
Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3 - Leather Case,5,Rp155.000,796,1000,"GARANSI RESMI 1 TAHUN INTIUM INDONESIA!!!GARANSI GANTI BARU apabila diterima dalam keadaan rusak/tidak sesuai. Namun harus disertakan video full unboxing dalam one take video,no cut no edit.Specially Optimized Vocal Band Transparency ModeDespite user demand for an effective transparency mode, it remains difficult for SOC to achieve full-frequency transparenty.SPACE TRAVEL features a specialized transparency mode for the vocal band, optimized for 200-1000Hz (the basic frequency range of the human voice). When this mode is activated users can enjoy clear conversations without interference from high- and low-pitched environmental noise.Custom Touch OperationSimple Faceplate Touch ControlEasy-touch operation controls audio play/pause, call answer/hangup, ANC ON/OFF/transparency mode, and music/game switching.The MOONDROP Link APP allows users to customize touch operation, or change the ANC ON/OFF/transparency mode to ""ANC ON/transparency mode"" or ""ANC ON/OFF"", thus meeting personal usage preferences,Product InformationModel: SPACE TRAVELBluetooth version: 5.3Supported protocols: A2DP/AVRCP/HFP/HSP/SBC/AACCharging port: Type-CWorking distance: 10m (barrier-free open environment) Support system: Bluetooth devices and mobile phonesEarphone charging time: About 1 HourCharging time of charging case: about 1.5 HoursEarphone battery capacity: 3.7V/37mAhBattery capacity of charging case: 3.7V/380mAhBattery life of earphone: About 4 HoursBattery life of charging case: About 12 Hours",Intium Store,https://www.tokopedia.com/intiumstore/moondrop-space-travel-true-wireless-tws-earphone-bluetooth-5-3-leather-case-e6eee?extParam=ivf%3Dfalse%26keyword%3Dtws%26search_id%3D202501152004350679B21DAC00C32E51X1%26src%3Dsearch,Jakarta Utara
TWS Anker SoundCore R50i - A3949 - Light Blue,4.9,Rp195.000,"21,5rb",10000,"Soundcore R50i Nomor postel: 90638/SDPPI/2023Bass yang Menggelegar: Dengan driver 10mm, earbud true wireless soundcore R50i menyajikan suara yang kuat dan bass yang kaya, membuat Anda terhanyut dalam musik kesukaan Anda.Personalisasi Audio Anda: Adanya aplikasi soundcore membuat Anda dapat menyesuaikan kontrol dan memilih dari 22 preset EQ. Fitur ""Find My Earbuds"" juga memungkinkan earbud yang hilang mengeluarkan suara untuk memudahkan pencarian.Baterai Tahan Lama dan Pengisian Instan: Earbud R50i menawarkan 10 jam waktu putar dari satu kali pengisian, yang bisa diperpanjang hingga 30 jam dengan casing. Pengisian cepat selama 10 menit juga memberi Anda 2 jam tambahan.Praktis dan Portabel: Desain yang ringan dan ringkas, earbud true wireless soundcore R50i dan casing pengisiannya dilengkapi dengan tali gantungan. Ukurannya memungkinkan Anda menyimpannya di saku atau menggantungnya di tas tanpa khawatir tentang ruang.Kualitas Suara Jelas dengan Bantuan AI: Dua mikrofon bawaan dan algoritma AI berfungsi bersama untuk menangkap suara Anda, sehingga Anda tidak perlu mengangkat suara saat bertelepon.Kelengkapan:1x Soundcore R50i1x Buds Cadangan1x Kabel Charger1x Buku Manual dan Petunjuk",Anker Indonesia,https://www.tokopedia.com/anker-indonesia/tws-anker-soundcore-r50i-a3949-light-blue-1a755?extParam=ivf%3Dtrue%26keyword%3Dtws%26search_id%3D202501152004350679B21DAC00C32E51X1%26src%3Dsearch,Jakarta Utara
Case Samsung Galaxy Buds 3 / 3 Pro Spigen Urban Fit Modern Fabric Anti Scratch TWS Cover Casing - Black,4.9,Rp345.000,25,40,"Case Samsung Galaxy Buds 3 / 3 Pro Spigen Urban Fit adalah case yang sempurna untuk kamu yang menyukai tampilan elegan dan pegangan anti licin. Pilihan tepat untuk kamu yang mengutamakan kesederhanaan dengan sentuhan minimalis namun tetap stylish!Mengapa beli di toko kami ?- Garansi barang original (terbukti palsu, kami ganti uang anda 2x lipat)- Garansi Uang Kembali (salah pilih produk dapat direfund selama segel belum dibuka)- Distributor resmi dan terpercaya- Pengiriman cepat, tepat dan aman (packing khusus dari Unicase Store)- Fast response dan fast serviceCompatibility :- Galaxy Buds 3 / 3 Pro- Wireless ChargingFeature :- Anti ScratchPada bagian dalam casing terdapat lapisan microfiber yang berfungsi melindungi TWS dari goresan.- Elegant DesignBahan fabric premium pada bagian luar memberikan kesan elegan saat dipasang pada TWS- Perfect FitMemastikan setiap sudut dan lekuk Buds-mu terlindungi dengan presisi tinggi.Highlight :- Fabric- Precise Cut Out- LED Indicator- Elegant Design- Anti Slip- Slim Design- Lightweight- Easy AccessNotice :- Hindarkan lapisan microfiber pada bagian dalam casing dari air.- Terdapat carabiner pada paket penjualanDimension :- 1,95 inch x 1,05 inch x 2,32 inchesWhat is in the box :1x Spigen Urban Fit Case for Galaxy Buds 3 / 3 Pro1x CarabinerMOHON PERHATIKAN VARIAN PRODUK SEBELUM MELAKUKAN PEMBELIANS&K Complain :1. Box dan isi masih lengkap2. Dapat menunjukan invoice pembelian3. Chat komplain menyertakan video unboxing dan video yang menunjukan letak permasalahan produk",Spigen Official,https://www.tokopedia.com/spigen-official/case-samsung-galaxy-buds-3-3-pro-spigen-urban-fit-modern-fabric-anti-scratch-tws-cover-casing-black-f0cc6?extParam=ivf%3Dfalse%26keyword%3Dtws%26search_id%3D202501152004350679B21DAC00C32E51X1%26src%3Dsearch%26whid%3D17122767,Kota Bandung
